episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter,wall_clock
0,99.0,3.0949623592558533,4.309522139085248,153.08479864296885,15.0,1.5,10,0.5,False,True,57.76226048652219,68,17.709159380834848,44.349,in_progress,0.0,0,1774596055.8817403
0,100.0,2.9913115614146917,4.330668218548967,158.54828633259754,-5.0,1.5,4,0.5,False,True,58.54194906403879,69,17.709159380834848,44.417,in_progress,0.0,0,1774596071.2396197
0,101.0,2.896023268650949,4.342997698167269,162.95820050332642,0.0,1.5,6,0.5,False,True,59.08330064777727,70,17.709159380834848,44.49,in_progress,0.0,0,1774596086.2924337
0,102.0,2.790849724910143,4.356798492901825,166.09942049334697,-20.0,1.0,1,0.5,False,True,59.83025995338755,71,17.709159380834848,44.548,in_progress,0.0,0,1774596101.583249
0,103.0,2.7065191983470895,4.369629356844942,167.12934646568232,0.0,1.5,6,0.5,False,True,60.30756053816885,72,17.709159380834848,44.615,in_progress,0.0,0,1774596118.010665
0,104.0,2.6133803181733795,4.394255787068098,166.67375754830934,0.0,1.5,6,0.5,False,True,60.84390852053816,72,17.709159380834848,44.685,in_progress,0.0,0,1774596134.213762
0,105.0,2.519151186172827,4.419609689751313,166.14702450972337,-15.0,1.5,2,0.5,False,True,61.37628421838643,73,17.709159380834848,44.746,in_progress,0.0,0,1774596154.2287972
0,106.0,2.4225028332419223,4.446915365810153,165.7866777065454,-15.0,1.5,2,1.0,False,True,61.93349458652035,73,17.709159380834848,44.811,in_progress,0.0,0,1774596173.516508
0,107.0,2.322826835885996,4.48728835697695,163.17066991205317,0.0,1.5,6,1.0,False,True,62.48759508685361,74,17.709159380834848,44.877,in_progress,0.0,0,1774596188.6538258
0,108.0,2.238977217509918,4.529172118062046,160.64051744667168,5.0,1.5,8,1.0,False,True,62.95278359255063,74,17.709159380834848,44.942,in_progress,0.0,0,1774596204.1279016
0,109.0,2.1474398511854673,4.575882591721814,158.0434343403506,15.0,1.5,10,0.5,False,True,63.46057542492447,75,17.709159380834848,45.009,in_progress,0.0,0,1774596219.8750894
0,110.0,2.0529640471071886,4.616361174858186,157.3949232809005,25.0,0.75,12,0.5,False,True,63.99081660354812,76,17.709159380834848,45.086,in_progress,0.0,0,1774596237.6785264
0,111.0,1.9662940223703291,4.641473617072487,158.62746656447803,25.0,0.75,12,0.5,False,True,64.47600919421438,76,17.709159380834848,45.143,in_progress,0.0,0,1774596254.4872777
0,112.0,1.9071151663145842,4.649068024063903,161.26180189445904,25.0,0.75,12,0.5,False,True,64.80888518581698,77,17.709159380834848,45.211,in_progress,0.0,0,1774596270.7367148
0,113.0,1.8602962367701459,4.649352245908432,164.09807913187834,25.0,0.75,12,0.5,False,True,65.0731198155978,77,17.709159380834848,45.272,in_progress,0.0,0,1774596287.463488
0,114.0,1.8114296713465667,4.643109347330382,168.15843451640998,25.0,0.75,12,0.5,False,True,65.34478852230473,77,17.709159380834848,45.34,in_progress,0.0,0,1774596304.8158987
0,115.0,1.7637227852059214,4.629736120093262,172.90087863218554,20.0,1.0,11,0.5,False,True,65.61651327219008,77,17.709159380834848,45.408,in_progress,0.0,0,1774596321.272845
0,116.0,1.708346172919675,4.606235376373925,179.45168061962747,20.0,1.0,11,0.5,False,True,65.93340132633949,78,17.709159380834848,45.467,in_progress,0.0,0,1774596338.5659225
0,117.0,1.6564192049792938,4.575022172493936,-173.66109177285213,15.0,1.5,10,0.5,False,True,66.22749486819545,78,17.709159380834848,45.539,in_progress,0.0,0,1774596362.4951413
0,118.0,1.5863116849717953,4.529852893638455,-165.87924462550083,10.0,1.5,9,1.0,False,True,66.6335332723251,79,17.709159380834848,45.601,in_progress,0.0,0,1774596379.8194804
0,119.0,1.5060737040870504,4.469778067898917,-158.68101085094906,0.0,1.5,6,1.0,False,True,67.09969453895967,79,17.709159380834848,45.671,in_progress,0.0,0,1774596397.1532416
0,120.0,1.4227957862181562,4.407026707266585,-153.48027339579073,0.0,1.5,6,1.0,False,True,67.59368803101695,80,17.709159380834848,45.744,in_progress,0.0,0,1774596413.976108
0,121.0,1.335373339060492,4.336711650466069,-148.9525855351082,-15.0,1.5,2,0.5,False,True,68.23816010493154,81,17.709159380834848,45.798,in_progress,0.0,0,1774596432.1323476
0,122.0,1.2625349590590496,4.283171223551983,-147.57837993849935,-15.0,1.5,2,0.5,False,True,68.89414505858899,81,17.709159380834848,45.873,in_progress,0.0,0,1774596449.6034226
0,123.0,1.1692768227096266,4.227162550712309,-148.13853530987097,-10.0,1.5,3,0.5,False,True,69.63579076243049,82,17.709159380834848,45.932,in_progress,0.0,0,1774596466.5121775
0,124.0,1.0861738883998298,4.184456544264874,-149.48522981399384,0.0,1.5,6,0.5,False,True,70.1518877536617,83,17.709159380834848,45.999,in_progress,0.0,0,1774596482.9564812
0,125.0,0.993314930936855,4.142484705030963,-151.35707233996433,0.0,1.5,6,1.0,False,True,70.77119255412825,84,17.709159380834848,46.067,in_progress,0.0,0,1774596499.852847
0,126.0,0.8962800565815181,4.098841667180717,-152.64319619670857,-15.0,1.5,2,1.0,False,True,71.34495687737737,84,17.709159380834848,46.135,in_progress,0.0,0,1774596516.7702727
0,127.0,0.8034890291253994,4.058192801412052,-153.6481894409252,-20.0,1.0,1,1.0,False,True,71.82749522082788,85,17.709159380834848,46.2,in_progress,0.0,0,1774596538.3669696
